dt_zop_rok;kraj_id;quest_class;hermin_class;fin_vyuct_eu;fin_vyuct_narodni_verejne;fin_vyuct_verejne
2007;CZ010;AIS;AIS4;1062500000,0000000;187500000,0000000000;1250000000,0000000000
2007;CZ010;HC;HC;68000000,0000000;12000000,0000000000;80000000,0000000000
2007;CZ010;INFR;INFR;0,0000000;0,0000000000;0,0000000000
2007;CZ010;TA;TA;838031,6170020;1032888,8156520000;1870920,4326539999
2007;CZ020;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2007;CZ020;HC;HC;0,0000000;0,0000000000;0,0000000000
2007;CZ020;INFR;INFR;74668053,0600000;13176715,2500000000;87844768,3100000024
2007;CZ020;TA;TA;13822106,4648460;2439195,2587959999;16261301,7236419991
2007;CZ031;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2007;CZ031;HC;HC;0,0000000;0,0000000000;0,0000000000
2007;CZ031;INFR;INFR;302672262,6200000;68659184,6400000006;371331447,2599999905
2007;CZ031;TA;TA;28616874,7248460;5075272,0137959998;33692146,7386419997
2007;CZ032;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2007;CZ032;HC;HC;0,0000000;0,0000000000;0,0000000000
2007;CZ032;INFR;INFR;0,0000000;0,0000000000;0,0000000000
2007;CZ032;TA;TA;58915,9248460;35632,1337960000;94548,0586420000
2007;CZ041;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2007;CZ041;HC;HC;0,0000000;0,0000000000;0,0000000000
2007;CZ041;INFR;INFR;0,0000000;0,0000000000;0,0000000000
2007;CZ041;TA;TA;29977,6748460;5290,1787960000;35267,8536420000
2007;CZ042;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2007;CZ042;HC;HC;0,0000000;0,0000000000;0,0000000000
2007;CZ042;INFR;INFR;87789,7000000;15492,3000000000;103282,0000000000
2007;CZ042;TA;TA;29977,6748460;5290,1787960000;35267,8536420000
2007;CZ051;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2007;CZ051;HC;HC;0,0000000;0,0000000000;0,0000000000
2007;CZ051;INFR;INFR;165170901,9200000;29147806,1400000006;194318708,0600000024
2007;CZ051;TA;TA;8609539,2662160;1519330,4596259999;10128869,7258419991
2007;CZ052;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2007;CZ052;HC;HC;0,0000000;0,0000000000;0,0000000000
2007;CZ052;INFR;INFR;0,0000000;0,0000000000;0,0000000000
2007;CZ052;TA;TA;8612113,3921060;1519784,7171360001;10131898,1092419997
2007;CZ053;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2007;CZ053;HC;HC;0,0000000;0,0000000000;0,0000000000
2007;CZ053;INFR;INFR;0,0000000;0,0000000000;0,0000000000
2007;CZ053;TA;TA;8609539,2662160;1519330,4596259999;10128869,7258419991
2007;CZ063;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2007;CZ063;HC;HC;0,0000000;0,0000000000;0,0000000000
2007;CZ063;INFR;INFR;0,0000000;0,0000000000;0,0000000000
2007;CZ063;TA;TA;11960648,6648460;1057996,4387960001;13018645,1036419999
2007;CZ064;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2007;CZ064;HC;HC;0,0000000;0,0000000000;0,0000000000
2007;CZ064;INFR;INFR;0,0000000;0,0000000000;0,0000000000
2007;CZ064;TA;TA;11960648,6648460;1057996,4387960001;13018645,1036419999
2007;CZ071;AIS;AIS4;0,0000000;0,0000000000;0,0000000000
2007;CZ071;HC;HC;0,0000000;0,0000000000;0,0000000000
2007;CZ071;INFR;INFR;0,0000000;0,0000000000;0,0000000000
